,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,SoldAge,RenovatedAge,city_rank
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,59,2014,10.0
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,63,23,10.0
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,82,2015,14.0
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,49,2014,10.0
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,28,2015,4.0
5,1230000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,13,2014,5.0
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,19,2014,24.0
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,52,2015,10.0
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,55,2015,10.0
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,12,2015,20.0
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,50,2015,3.0
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,72,2014,10.0
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,87,2014,14.0
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,37,2014,4.0
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,115,2015,10.0
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,36,2015,10.0
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,20,2014,17.0
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,98,2014,10.0
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,93,2014,23.0
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,46,2015,24.0
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,67,2014,10.0
21,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,46,2014,2.0
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,19,2014,23.0
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,29,2014,22.0
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,29,2014,22.0
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,73,2014,23.0
26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,99,2014,10.0
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,105,2014,10.0
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,66,2014,10.0
29,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,10,2015,5.0
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,11,2014,8.0
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,9,2014,10.0
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,85,2014,10.0
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,85,2014,10.0
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,33,2014,19.0
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,84,12,10.0
36,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,81,2014,5.0
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,110,2014,10.0
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,46,2015,23.0
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,18,2014,19.0
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,14,2014,4.0
41,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,30,2014,10.0
42,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,0,2014,5.0
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,92,2014,10.0
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,55,2014,19.0
45,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,11,2014,17.0
46,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,49,2015,24.0
47,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,33,2014,3.0
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,62,2015,10.0
49,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,62,2015,13.0
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,59,2014,10.0
51,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,49,2015,19.0
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,64,2014,10.0
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,34,2015,10.0
54,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,88,2015,10.0
55,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,19,2014,10.0
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,6,2014,22.0
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,12,2015,22.0
58,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,46,2014,3.0
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,24,2015,19.0
60,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,55,2014,10.0
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,60,2014,10.0
